question,ground_truth,namespace
What causes psoriasis?,"Psoriasis is a chronic immune-mediated inflammatory skin disease characterized by abnormal activation of T-cells leading to keratinocyte hyperproliferation, increased epidermal turnover, and formation of scaly erythematous plaques often triggered by genetic susceptibility and environmental factors such as infection, stress, or medications",diagnosis_knowledge
Symptoms of psoriasis?,"Psoriasis typically presents with well-demarcated erythematous plaques covered by silvery white scales, commonly affecting extensor surfaces such as elbows and knees, and may be associated with itching, nail pitting, and joint involvement in psoriatic arthritis",diagnosis_knowledge
What causes acne vulgaris?,"Acne vulgaris is caused by follicular hyperkeratinization, increased sebum production due to androgen stimulation, colonization by Cutibacterium acnes, and inflammatory response leading to blockage and rupture of pilosebaceous units",diagnosis_knowledge
Symptoms of acne vulgaris?,"Acne vulgaris manifests as comedones, inflammatory papules, pustules, nodules, and in severe cases cyst formation and scarring, commonly affecting face, chest, and back during adolescence",diagnosis_knowledge
What causes atopic dermatitis?,"Atopic dermatitis is a multifactorial inflammatory skin disorder caused by genetic skin barrier dysfunction, immune dysregulation with Th2 dominance, environmental allergens, and impaired filaggrin production leading to increased transepidermal water loss",diagnosis_knowledge
Symptoms of atopic dermatitis?,"Atopic dermatitis presents with intense pruritus, xerosis, erythematous eczematous plaques, excoriations, and lichenification, commonly involving flexural areas in children and adults",diagnosis_knowledge
What causes contact dermatitis?,"Contact dermatitis results from exposure to allergens or irritants that trigger type IV hypersensitivity reactions or direct irritant damage leading to localized skin inflammation",diagnosis_knowledge
Symptoms of contact dermatitis?,"Contact dermatitis presents with erythema, pruritus, edema, vesicles or blisters, and sometimes crusting at the site of exposure",diagnosis_knowledge
What causes seborrheic dermatitis?,"Seborrheic dermatitis is associated with overgrowth of Malassezia species in sebaceous areas combined with abnormal immune response and increased sebum production",diagnosis_knowledge
Symptoms of seborrheic dermatitis?,"Seborrheic dermatitis presents with greasy yellow scales, erythema, and flaking in scalp, eyebrows, nasolabial folds, and chest",diagnosis_knowledge
What causes rosacea?,"Rosacea is a chronic inflammatory vascular disorder caused by dysregulation of innate immunity, vascular hyperreactivity, and environmental triggers such as heat, alcohol, and UV exposure",diagnosis_knowledge
Symptoms of rosacea?,"Rosacea is characterized by facial flushing, persistent erythema, telangiectasia, papules, and pustules affecting central face",diagnosis_knowledge
What causes vitiligo?,"Vitiligo is an autoimmune disorder where melanocytes are destroyed due to immune-mediated mechanisms involving cytotoxic T-cells, genetic predisposition, and oxidative stress",diagnosis_knowledge
Symptoms of vitiligo?,"Vitiligo presents as well-defined depigmented macules and patches with complete pigment loss, often symmetrical and visible on sun-exposed areas",diagnosis_knowledge
What causes melanoma?,"Melanoma arises from malignant transformation of melanocytes due to ultraviolet radiation-induced DNA damage combined with genetic mutations affecting cell cycle regulation",diagnosis_knowledge
Symptoms of melanoma?,"Melanoma presents with asymmetric pigmented lesions with irregular borders, color variation, diameter enlargement, and evolving morphology (ABCDE criteria)",diagnosis_knowledge
What causes basal cell carcinoma?,"Basal cell carcinoma is caused by chronic UV radiation exposure leading to DNA damage in basal keratinocytes and activation of oncogenic pathways",diagnosis_knowledge
Symptoms of basal cell carcinoma?,"Basal cell carcinoma presents as pearly papules with telangiectasia, rolled borders, central ulceration, and slow-growing lesions on sun-exposed skin",diagnosis_knowledge
What causes squamous cell carcinoma?,"Squamous cell carcinoma results from cumulative UV exposure causing DNA mutations in keratinocytes and actinic damage over time",diagnosis_knowledge
Symptoms of squamous cell carcinoma?,"Squamous cell carcinoma presents as hyperkeratotic plaques or nodules with crusting, ulceration, and possible bleeding on sun-exposed skin",diagnosis_knowledge
What causes tinea corporis?,"Tinea corporis is caused by dermatophyte fungal infections such as Trichophyton species invading keratinized tissues including skin, hair, and nails",diagnosis_knowledge
Symptoms of tinea corporis?,"Tinea corporis presents as annular, erythematous, scaly lesions with central clearing and raised active borders",diagnosis_knowledge
What causes scabies?,"Scabies is caused by infestation with Sarcoptes scabiei mite which burrows into the stratum corneum causing hypersensitivity reaction",diagnosis_knowledge
Symptoms of scabies?,"Scabies presents with intense nocturnal pruritus, burrows, erythematous papules, and widespread itching especially in interdigital spaces",diagnosis_knowledge
What causes urticaria?,"Urticaria is caused by mast cell degranulation leading to histamine release triggered by allergens, infections, drugs, or idiopathic immune mechanisms",diagnosis_knowledge
