question,ground_truth,namespace
What are the clinical features of acute otitis media?,"Acute otitis media presents with otalgia, fever, irritability, and conductive hearing loss. Otoscopic findings include a bulging erythematous tympanic membrane with loss of light reflex and bony landmarks. In young children, tugging at the ear, restlessness, and feeding difficulties are common. Spontaneous perforation may cause otorrhea with relief of pain. The condition is most prevalent in children between 6 months and 2 years of age and is often preceded by an upper respiratory tract infection.",diagnosis_knowledge
"A 7-year-old presents with ear pain, fever, and a red bulging eardrum. What is the most likely diagnosis?","The most likely diagnosis is acute otitis media. This condition commonly follows upper respiratory tract infection and is characterized by otalgia, fever, and otoscopic findings of a hyperemic, bulging tympanic membrane with loss of the normal light reflex and bony landmarks. In children, it is the most common bacterial infection requiring antibiotic therapy. The most frequent causative organisms are Streptococcus pneumoniae, Haemophilus influenzae, and Moraxella catarrhalis.",diagnosis_knowledge
How would you differentiate between serous otitis media and acute otitis media?,"Serous otitis media, or otitis media with effusion, is characterized by non-purulent fluid in the middle ear without signs of acute infection. There is no fever, no severe otalgia, and the tympanic membrane appears retracted or amber-colored with visible fluid levels or air bubbles rather than bulging and erythematous as seen in acute otitis media. Audiometry shows conductive hearing loss in both conditions, but tympanometry reveals a flat type B curve in serous otitis media compared to a normal or low peak type C curve. The condition is often asymptomatic except for hearing impairment.",diagnosis_knowledge
What is cholesteatoma and what are its clinical features?,"Cholesteatoma is an abnormal collection of keratinizing squamous epithelium in the middle ear or mastoid, expanding progressively and eroding adjacent bony structures. It presents as a foul-smelling painless otorrhea that is persistent and unresponsive to standard antibiotic therapy. Conductive hearing loss is common due to ossicular chain erosion. Otoscopy reveals a retraction pocket or perforation in the pars flaccida or pars tensa filled with white pearly debris. Complications include mastoiditis, facial nerve palsy, labyrinthine fistula, meningitis, and brain abscess if left untreated.",diagnosis_knowledge
What is otosclerosis and how does it present clinically?,"Otosclerosis is a condition of abnormal bone remodeling localized to the bony labyrinth and stapes footplate, leading to fixation of the stapes and progressive conductive hearing loss. It typically presents in young adults, more commonly in females, with a positive family history. Patients complain of progressive bilateral hearing loss often better in noisy environments, a phenomenon known as paracusis willisii. Tympanic membrane appears normal. Audiometry shows a conductive hearing loss with a characteristic Carhart notch at 2000 Hz. Tympanometry shows an As pattern indicating reduced compliance.",diagnosis_knowledge
"A patient presents with sudden onset vertigo, nausea, and hearing loss lasting several hours. What is the diagnosis?","The presentation is consistent with Meniere's disease, which is characterized by episodic attacks of vertigo lasting 20 minutes to several hours, accompanied by fluctuating sensorineural hearing loss, tinnitus, and aural fullness. The condition results from endolymphatic hydrops with distension of the membranous labyrinth. Attacks are sudden in onset and followed by a postictal period of imbalance and fatigue. Over time, hearing loss becomes permanent. Audiometry shows a low-frequency sensorineural hearing loss in early stages. Diagnosis is clinical based on the characteristic triad of episodic vertigo, hearing loss, and tinnitus.",diagnosis_knowledge
How is benign paroxysmal positional vertigo diagnosed?,"Benign paroxysmal positional vertigo is diagnosed clinically using the Dix-Hallpike maneuver. The patient is moved rapidly from a seated position to lying supine with the head turned 45 degrees to the affected side and extended 30 degrees below horizontal. A positive test produces rotatory geotropic nystagmus with latency of 5 to 20 seconds, duration less than 60 seconds, and fatigability on repeated testing. BPPV results from dislodged otoconia in the semicircular canals, most commonly the posterior canal. It is the most common cause of vertigo and presents with brief episodes triggered by specific head movements.",diagnosis_knowledge
What are the causes and clinical features of vestibular neuritis?,"Vestibular neuritis is an acute unilateral vestibular dysfunction believed to be caused by viral inflammation of the vestibular nerve, commonly following an upper respiratory tract infection. It presents with sudden onset severe vertigo, nausea, vomiting, and postural imbalance lasting days to weeks without associated hearing loss or tinnitus, distinguishing it from labyrinthitis and Meniere's disease. The head impulse test is positive toward the affected side. Nystagmus is unidirectional, horizontal, and beats away from the lesion. Caloric testing reveals reduced or absent response on the affected side. Hearing is preserved.",diagnosis_knowledge
What investigation confirms sensorineural hearing loss and how is it classified?,"Pure tone audiometry is the primary investigation to confirm and classify sensorineural hearing loss. It shows elevated air conduction and bone conduction thresholds with less than 10 dB gap between the two, distinguishing it from conductive hearing loss. Sensorineural hearing loss is classified by severity: mild (26-40 dB), moderate (41-55 dB), moderately severe (56-70 dB), severe (71-90 dB), and profound (greater than 90 dB). Speech discrimination scores are typically reduced. Otoacoustic emissions testing evaluates outer hair cell function and is absent in cochlear hearing loss. Auditory brainstem response testing localizes the lesion along the auditory pathway.",diagnosis_knowledge
A patient has progressive bilateral hearing loss with age. What is the most likely diagnosis?,"The most likely diagnosis is presbycusis, which is age-related sensorineural hearing loss resulting from degenerative changes in the cochlea, auditory nerve, and central auditory pathways. It typically presents after the sixth decade with bilateral, symmetrical high-frequency hearing loss with poor speech discrimination, particularly in noisy environments. Audiometry reveals a gradually sloping high-frequency sensorineural hearing loss. There are four histopathological subtypes: sensory, neural, strial, and cochlear conductive. The condition is progressive and irreversible. Management involves hearing aids and auditory rehabilitation, with cochlear implantation considered in severe to profound cases.",diagnosis_knowledge
What are the clinical features of allergic rhinitis?,"Allergic rhinitis is an IgE-mediated inflammatory condition of the nasal mucosa presenting with the classic triad of nasal itching, sneezing, and watery rhinorrhea, often accompanied by nasal obstruction and bilateral ocular symptoms including itching, tearing, and redness. Nasal examination reveals pale, bluish, boggy turbinates with clear watery discharge. It is classified as seasonal, due to pollen exposure, or perennial, due to house dust mite, animal dander, or mold. Skin prick testing and specific serum IgE confirm the diagnosis. Nasal smear shows eosinophilia. Associated conditions include asthma, sinusitis, and nasal polyposis.",diagnosis_knowledge
How would you differentiate allergic rhinitis from vasomotor rhinitis?,"Allergic rhinitis is mediated by an IgE response to specific allergens and is confirmed by positive skin prick tests or elevated specific serum IgE, whereas vasomotor rhinitis is a non-allergic, non-infectious condition caused by autonomic imbalance resulting in increased parasympathetic tone affecting the nasal vasculature and glands. Vasomotor rhinitis is triggered by non-specific stimuli such as temperature changes, humidity, strong odors, smoke, and emotional stress rather than allergens. Nasal smear in allergic rhinitis shows eosinophilia, while vasomotor rhinitis shows neutrophilia or normal findings. Skin tests and IgE levels are negative in vasomotor rhinitis.",diagnosis_knowledge
