question,ground_truth,namespace
"What are the DSM-5-TR diagnostic criteria for major depressive disorder?","Major depressive disorder requires five or more symptoms during the same two-week period representing a change from previous functioning, with at least one symptom being depressed mood or loss of interest or pleasure. Additional symptoms include significant weight change, insomnia or hypersomnia, psychomotor agitation or retardation, fatigue, feelings of worthlessness or guilt, diminished concentration, and recurrent thoughts of death or suicidal ideation. Symptoms must cause clinically significant distress or functional impairment and must not be attributable to substances, medical conditions, or better explained by another mental disorder.","diagnosis_knowledge"
"A 32-year-old woman presents with two weeks of low mood, early morning wakening, weight loss, inability to concentrate at work, and passive thoughts of not wanting to be alive. What is the most likely diagnosis?","The most likely diagnosis is major depressive disorder with melancholic features. The clinical picture meets DSM-5-TR criteria with depressed mood, neurovegetative symptoms including early morning awakening, anorexia with weight loss, impaired concentration, and passive suicidal ideation, all present for at least two weeks and causing significant functional impairment. The early morning wakening and predominant anorexia suggest a melancholic specifier. A thorough risk assessment for suicidality is required alongside medical history to exclude organic causes such as hypothyroidism.","diagnosis_knowledge"
"How does persistent depressive disorder differ from major depressive disorder according to DSM-5-TR?","Persistent depressive disorder, formerly called dysthymia, requires depressed mood present for most of the day on more days than not for at least two years in adults, accompanied by at least two of six symptoms including poor appetite or overeating, insomnia or hypersomnia, low energy, low self-esteem, poor concentration, and hopelessness. Unlike major depressive disorder, the severity threshold for full MDD criteria need not be met throughout, though double depression can occur when MDD episodes develop on a background of PDD. The minimum duration of two years distinguishes it from episodic MDD.","diagnosis_knowledge"
"What are the features that distinguish bipolar I disorder from bipolar II disorder?","Bipolar I disorder requires at least one lifetime manic episode lasting at least seven days or requiring hospitalization, causing marked functional impairment, and not attributable to substances or medical conditions. Bipolar II disorder requires at least one hypomanic episode and one major depressive episode but no full manic episode. Hypomania in bipolar II is less severe, lasts at least four consecutive days, and does not cause marked functional impairment or psychotic features. Bipolar II is not a milder condition as it carries substantial depressive burden. Misidentifying bipolar II as recurrent depression and prescribing antidepressants without mood stabilizers carries risk of precipitating mixed states or rapid cycling.","diagnosis_knowledge"
"A 25-year-old male presents with three days of decreased need for sleep, pressured speech, grandiosity, and spending large amounts of money on unnecessary items without any functional impairment and without requiring hospitalization. What is the most likely diagnosis?","The most likely diagnosis is bipolar II disorder with a current hypomanic episode. The clinical features of decreased need for sleep, pressured speech, grandiosity, and impulsive spending are consistent with hypomania per DSM-5-TR criteria. The absence of marked functional impairment and the duration of fewer than seven days distinguish hypomania from a full manic episode. A careful longitudinal history is essential to determine whether previous major depressive episodes have occurred, which would confirm bipolar II disorder. Substance use particularly stimulants or cannabis must be excluded as a precipitant.","diagnosis_knowledge"
"What are the DSM-5-TR diagnostic criteria for generalized anxiety disorder?","Generalized anxiety disorder requires excessive anxiety and worry about multiple events or activities occurring more days than not for at least six months that is difficult to control. Three or more of six associated symptoms are required in adults: restlessness, fatigue, concentration difficulties, irritability, muscle tension, and sleep disturbance. In children only one associated symptom is required. The anxiety must cause clinically significant distress or functional impairment and must not be attributable to substances, a medical condition, or better explained by another mental disorder such as panic disorder, social anxiety disorder, or obsessive-compulsive disorder.","diagnosis_knowledge"
"How would you differentiate panic disorder from generalized anxiety disorder?","Panic disorder is characterized by recurrent unexpected panic attacks, discrete episodes of intense fear peaking within minutes, accompanied by physical symptoms including palpitations, sweating, trembling, chest pain, and fear of dying or losing control, followed by at least one month of persistent concern about future attacks or maladaptive behavioral changes. Generalized anxiety disorder involves chronic pervasive worry across multiple domains rather than episodic attacks. In panic disorder, the anxiety is attack-focused and anticipatory, while in GAD it is persistent and diffuse. Agoraphobia frequently develops as a complication of panic disorder due to avoidance of situations associated with attacks.","diagnosis_knowledge"
"What are the clinical features and DSM-5-TR criteria for social anxiety disorder?","Social anxiety disorder requires marked fear or anxiety about social situations in which the individual is exposed to possible scrutiny by others, such as social interactions, being observed, or performing in front of others. The individual fears acting in a way that will be humiliating or embarrassing. The social situations almost always provoke fear or anxiety, are avoided or endured with intense distress, and the fear is out of proportion to the actual threat. Symptoms must persist for six or more months and cause significant functional impairment. Unlike specific phobia, the fear is specifically tied to social evaluation rather than a discrete object or situation.","diagnosis_knowledge"
"A 19-year-old college student avoids eating in public, refuses to give class presentations, and has dropped several courses because of intense fear of embarrassing herself in front of others. These symptoms have persisted for over a year and she is socially isolated. What is the most likely diagnosis?","The most likely diagnosis is social anxiety disorder of the performance-only subtype. The clinical picture meets DSM-5-TR criteria with marked fear specifically triggered by situations involving scrutiny by others including public eating and public speaking, persistent avoidance of these situations despite significant functional consequences including academic disruption and social isolation, and a duration exceeding six months. The pervasive nature of social avoidance across multiple contexts suggests generalized social anxiety disorder rather than the performance-only subtype. Differential diagnoses including agoraphobia and avoidant personality disorder should be considered given the degree of functional impairment.","diagnosis_knowledge"
"What are the DSM-5-TR criteria for obsessive-compulsive disorder?","Obsessive-compulsive disorder is characterized by the presence of obsessions, compulsions, or both. Obsessions are recurrent, persistent, intrusive, and unwanted thoughts, urges, or images causing marked anxiety or distress that the person attempts to ignore, suppress, or neutralize. Compulsions are repetitive behaviors or mental acts performed in response to an obsession or according to rigid rules, aimed at reducing distress or preventing a dreaded event, but not realistically connected to the event they aim to prevent. The obsessions or compulsions must be time-consuming, taking more than one hour per day, or cause significant distress or functional impairment. Insight specifiers include good, poor, and absent insight.","diagnosis_knowledge"
